,year,sid,robbery_gun_r,jhcitizen_c,jhpolice_c,homicide,robbery,assault,burglary,larceny,motor,murder,unemployrt,poverty,l_income,l_prisoner,l_exp_subsidy,l_exp_pubwelfare,post,popwt
13,2002,2,0.38445807,0,3,5.286327,78.33375,415.53732,626.02924,2841.6409,395.83374,5.4465184,7.1,9.440418292612598,11.066013,6.5575213,5.7251234,7.7115536,0,651473.25
14,2003,2,0.3026906,0,2,6.192127,70.81253,442.49896,615.08466,2866.0024,390.7391,6.192127,7.7,10.022672712723393,11.026011,6.577532,5.6369133,7.8120546,0,651473.25
15,2004,2,0.33333334,3,2,5.8179483,70.28711,490.12286,593.2735,2540.871,352.22174,5.6607065,7.4,10.167258158100392,11.059724,6.573791,5.9268365,7.8902493,0,651473.25
16,2005,2,0.30912477,0,1,4.9865675,83.68083,481.0479,643.7347,2687.9158,404.37946,4.9865675,6.9,10.766778241113002,11.041673,6.61988,5.829506,7.8173127,0,651473.25
17,2006,2,0.30717862,2,1,5.3727093,89.39591,516.07855,615.17523,2588.452,378.32828,5.2234674,6.7,10.614085751425634,11.018793,6.628712,5.7342114,7.7931113,0,651473.25
18,2007,2,0.29776248,1,2,6.5013933,85.847946,496.6178,544.19617,2504.514,358.61096,6.3536344,6.2,9.643634988134957,11.101055,6.6378746,5.6488996,7.7396045,1,651473.25
19,2008,2,0.25931677,0,2,3.96339,94.534195,493.66223,474.43246,2236.3796,239.27132,3.96339,6.9,9.082181626017453,11.07903,6.601252,5.586586,7.694469,1,651473.25
20,2009,2,0.2584098,4,2,3.220414,95.73412,473.54724,526.9768,2232.4788,246.94719,3.220414,8.3,9.068246426072472,11.044856,6.6510954,5.625318,7.764343,1,651473.25
21,2010,2,0.26430976,2,5,4.4278564,84.843445,482.63638,443.49985,2218.9275,231.24838,4.4278564,8.1,8.899277688,10.971606,6.6839147,5.687119,7.851979,1,651473.25
22,2000,3,0.4152452,7,18,7.1502805,149.45879,355.34305,1033.7434,3519.4717,860.5034,7.2299495,4.0,12.881698508320019,10.827151,6.2691064,4.959045,6.641533,0,5802964.5
23,2001,3,0.46053225,19,25,7.6960464,170.62134,344.18643,1054.7623,3595.0156,1004.3917,7.657566,4.7,13.528552523783668,10.870319,6.278791,4.998365,6.637799,0,5802964.5
24,2002,3,0.46525,17,22,7.238223,149.62735,377.3602,1105.1289,3769.5059,1078.5887,7.182113,6.1,13.955462670219818,10.782201,6.3083057,4.308614,6.8094916,0,5802964.5
25,2003,3,0.477228,4,17,8.060915,139.26556,342.21417,1071.3705,3632.4385,1041.8322,8.042636,5.7,14.312328100075252,10.7955265,6.3451934,4.274641,6.8782816,0,5802964.5
26,2004,3,0.498122,11,26,7.3482466,137.04303,335.83618,1009.67395,3177.3535,981.64764,7.2949986,4.9,15.150647045072974,10.831924,6.3580527,4.488383,6.9608974,0,5802964.5
27,2005,3,0.51241404,8,18,7.633144,147.15672,333.59412,966.20166,3020.8726,941.7927,7.290081,4.6,14.352746276526677,10.830362,6.3556647,4.4629984,7.0762053,0,5802964.5
28,2006,3,0.49466568,13,24,8.530212,153.5276,344.3546,953.04846,2874.1462,914.4031,8.513995,4.1,13.952491584118757,10.828817,6.366583,4.393243,7.073736,0,5802964.5
29,2007,3,0.48575234,17,16,8.923674,158.57806,325.4784,963.7242,2864.8242,810.55884,8.61484,3.8,14.240817271940411,10.812734,6.419244,4.408878,7.122257,1,5802964.5
30,2008,3,0.5132725,19,22,7.156422,153.80003,297.44867,916.227,2669.4087,602.3217,7.09337,5.1,14.742340421239,10.768632,6.4362197,4.3920665,7.1432114,1,5802964.5
31,2009,3,0.453226,17,14,6.0080333,129.63123,273.04932,858.6428,2466.0764,417.9852,5.9764123,8.6,16.849814185757324,10.747079,6.4651146,4.522347,7.2508726,1,5802964.5
32,2010,3,0.43837392,17,20,6.4452577,109.317245,261.18265,800.0787,2420.7378,338.93546,6.382223,9.5,15.93302353,10.763822,6.449509,4.5311193,7.2804503,1,5802964.5
33,2000,4,0.47876063,0,2,6.462801,76.97658,341.87448,824.89197,2682.8318,266.66748,6.462801,4.2,15.193737853395973,10.5347595,6.127652,4.403213,6.8751,0,2732902.5
34,2001,4,0.50939935,0,0,5.6528745,83.30351,342.57184,847.7784,2657.9968,279.5881,5.385509,4.7,16.00557953995532,10.622741,6.1759276,4.6157184,6.9486294,0,2732902.5
35,2002,4,0.48613313,1,5,5.389305,95.793,306.69702,881.6068,2699.5486,258.57278,5.199541,5.3,16.546912763089182,10.577758,6.2082696,4.6186004,7.0782166,0,2732902.5
36,2003,4,0.49663225,4,2,6.792294,84.03577,344.55798,943.9779,2568.2795,226.67393,5.99986,5.8,16.310561790629805,10.543709,6.219478,4.6647587,7.09824,0,2732902.5
37,2004,4,0.43507588,0,0,6.5772953,88.644,376.81174,1126.7728,2774.4973,243.58415,6.203585,5.7,15.866827710742518,10.606139,6.2460704,4.662802,7.164019,0,2732902.5
38,2005,4,0.4628752,0,0,6.996292,93.7281,397.8262,1114.8906,2795.1853,269.7089,6.7001524,5.1,17.093088811078278,10.619887,6.2171106,4.4168,7.178753,0,2732902.5
39,2006,4,0.46872753,2,1,7.5065675,98.97285,404.03833,1154.446,2596.7031,270.4499,7.2575345,5.3,16.762093755959004,10.598458,6.191186,4.495466,7.156012,0,2732902.5
40,2007,4,0.4633989,1,1,7.1648736,110.53867,374.6409,1136.185,2601.6333,249.13086,6.986643,5.4,17.235264153922873,10.66658,6.234879,4.4964433,7.2144036,0,2732902.5
41,2008,4,0.46879536,2,3,5.7949567,97.383545,357.8386,1193.337,2455.1536,229.6075,5.7242866,5.2,16.930460872204595,10.598807,6.2538123,4.5524635,7.2076764,0,2732902.5
42,2009,4,0.4724379,0,2,6.306941,90.76357,379.54395,1224.4978,2403.9663,214.82356,6.0250664,7.1,18.28752110094523,10.522477,6.2838416,4.582703,7.2240677,0,2732902.5
43,2010,4,0.4548904,3,4,4.7624454,81.85884,376.6128,1121.97,2268.0283,191.32607,4.5553827,7.7,17.8843975,10.560256,6.326521,4.6951585,7.281892,0,2732902.5
44,2000,5,0.34686053,23,103,6.2901087,182.28607,418.78992,672.5575,1972.2168,550.7551,6.2901087,4.9,13.024696860034707,10.989926,6.2008476,3.7590296,7.2422085,0,35311970.0
45,2001,5,0.3517504,28,111,6.5495877,191.8382,404.04068,689.6158,2071.5789,606.1991,6.5495877,5.4,13.117108262578139,10.971726,6.159914,3.8103378,7.2165027,0,35311970.0
46,2002,5,0.3597925,34,101,6.9839587,189.45045,381.4991,695.2699,2086.9993,648.42633,6.9839587,6.7,13.549932870887362,10.959401,6.153877,4.147575,7.325587,0,35311970.0
47,2003,5,0.34682453,38,117,6.9464707,184.03674,373.3836,699.1895,2111.0286,696.4537,6.9406986,6.9,13.956737946632519,10.9758415,6.162684,4.143163,7.4132695,0,35311970.0
48,2004,5,0.3330365,33,122,6.8235188,176.20197,329.19485,701.47314,2078.6829,720.5887,6.826371,6.2,13.355055438665394,10.947574,6.163577,4.2497334,7.3423448,0,35311970.0
49,2005,5,0.34470782,26,111,7.0949187,180.34076,325.0142,710.11835,1962.8435,730.02264,7.0949187,5.4,13.234747880084702,10.964779,6.181656,4.34572,7.4175344,0,35311970.0
50,2006,5,0.34340265,33,124,6.829861,194.95003,306.178,676.9051,1831.5,666.77,6.8134036,4.9,12.855241585220115,10.999112,6.176729,4.370645,7.3619747,0,35311970.0
51,2007,5,0.332823,39,115,6.2319956,194.521,301.14603,653.57916,1798.2561,604.95856,6.2319956,5.4,12.258258200789218,10.978626,6.1750064,3.9414518,7.3980727,0,35311970.0
52,2008,5,0.3181379,28,101,5.881626,190.5213,287.6093,652.75616,1786.2158,528.65717,5.881626,7.2,13.12849549345787,10.963619,6.16725,3.9757442,7.4228926,0,35311970.0
53,2009,5,0.30926934,33,113,5.431231,176.52327,275.84705,634.0053,1694.9242,451.22458,5.431231,11.6,14.13618349210366,10.951876,6.1563883,4.052448,7.4842234,0,35311970.0
54,2010,5,0.31015554,32,83,4.8929396,157.19075,259.32578,619.0069,1624.3748,412.5432,4.8929396,12.4,14.18773378,10.905204,6.1013403,4.4024844,7.4541197,0,35311970.0
55,2000,6,0.3256427,1,5,3.1917636,72.26724,224.49532,646.2845,2687.8223,403.99628,3.0250297,2.7,9.166316128457526,11.019891,5.99383,3.4659634,6.782578,0,4600371.5
56,2001,6,0.34092826,1,7,3.6618795,82.392296,228.2649,661.29376,2812.6943,486.56647,3.3374093,3.8,8.846869463724678,11.015904,6.002362,3.5065668,6.851554,0,4600371.5
57,2002,6,0.35261247,0,6,4.0648017,81.27332,228.40097,719.3563,2842.9314,526.44855,3.8831344,5.7,9.692439855129564,10.977295,6.058345,3.7093756,6.75921,0,4600371.5
58,2003,6,0.21134296,1,14,4.1592736,84.03981,223.04948,728.30005,2798.9888,512.9621,3.8445177,6.2,10.154428210037473,10.988728,6.0918856,3.8182073,6.821399,0,4600371.5
59,2004,6,0.36961755,4,12,4.4680457,83.11454,249.76598,733.78204,2741.024,533.5869,4.4013586,5.6,10.376625140515594,10.980825,6.1116776,3.7226431,6.811012,0,4600371.5
60,2005,6,0.41464034,3,8,3.7919936,86.53636,270.72205,761.5989,2796.913,572.1088,3.6385603,5.1,10.910486155497164,10.939231,6.15336,3.7411847,6.805729,0,4600371.5
61,2006,6,0.39659685,4,12,3.5974424,80.363914,265.43234,681.9993,2325.0837,434.7646,3.5974424,4.3,11.346291278810833,11.005926,6.1589856,3.8428178,6.827836,0,4600371.5
62,2007,6,0.388616,4,6,3.251411,72.60086,238.21306,600.1895,2101.901,348.44638,3.251411,3.8,11.506219320052333,11.071206,6.1719766,3.836674,6.8482747,0,4600371.5
63,2008,6,0.3576729,4,3,3.2201014,69.5418,237.58568,582.5494,2053.1863,276.94937,3.1375346,5.1,11.163946919518933,11.030266,6.174649,3.899179,6.8592544,0,4600371.5
64,2009,6,0.3544942,4,7,3.2829459,69.602585,231.72643,549.9864,1963.1398,257.6803,3.241651,7.5,12.774087273918067,10.948224,6.1541333,4.0342264,6.9104204,0,4600371.5
65,2010,6,0.36717752,6,11,2.4143252,63.013885,214.9353,526.18207,1963.4901,226.28262,2.5551608,8.1,12.25443044,11.009439,6.1291018,4.0793853,6.9293613,0,4600371.5
66,2000,7,0.35307932,1,0,2.971835,116.20481,195.59526,528.744,2077.1914,397.22516,2.971835,2.3,7.3819165666452164,11.059157,6.3218694,5.236527,7.1247644,0,3424474.2
67,2001,7,0.38393497,3,3,3.165386,126.10295,197.91199,517.28436,1982.4963,373.15378,3.1955326,3.1,7.226757098227354,11.092839,6.3607717,5.3042245,7.1690555,0,3424474.2
68,2002,7,0.34725976,1,2,2.5072045,121.45018,176.51913,510.7235,1932.1891,345.63605,2.477357,4.4,7.9799841508859535,11.077563,6.4272065,5.0730424,7.1718163,0,3424474.2
69,2003,7,0.35992402,0,0,3.3222187,124.939156,178.65825,475.87817,1944.9218,337.26453,3.2332308,5.5,8.099420955072627,11.084601,6.3778915,4.9791317,7.1934614,0,3424474.2
70,2004,7,0.3178128,1,2,2.9503024,123.55867,149.58034,470.83878,1969.917,330.8174,2.8617933,4.9,9.282212065969944,11.060385,6.3547535,5.0049376,7.3159833,0,3424474.2
71,2005,7,0.29036358,1,2,3.0930104,115.85533,141.1591,449.07565,1897.5177,312.51187,3.0340958,4.8,8.318106394253952,11.058417,6.3503757,4.8687024,7.3345656,0,3424474.2
72,2006,7,0.3482464,1,0,3.9089148,126.91134,148.02519,442.56335,1839.815,292.59796,3.9089148,4.3,8.019809353377031,11.119631,6.3746734,4.765973,7.346919,0,3424474.2
73,2007,7,0.35556588,2,0,3.233328,123.12399,155.68617,447.5155,1743.6223,284.73315,3.233328,4.6,7.698325336330504,11.119112,6.3947763,4.760146,7.3432674,0,3424474.2
74,2008,7,0.34998763,0,0,3.77898,115.745575,168.39365,432.49283,1809.6733,254.53722,3.77898,5.8,8.831333241339982,11.089806,6.3826556,4.895864,7.396189,0,3424474.2
75,2009,7,0.36140963,0,0,3.0333493,114.49463,166.66252,434.1696,1716.7612,213.50774,3.0333493,8.2,9.10027709360487,11.096228,6.335414,4.9442244,7.480118,0,3424474.2
76,2010,7,0.33633548,0,0,3.6501617,99.76173,162.60066,426.00195,1586.613,188.32027,3.7343962,9.0,9.444653159,11.104235,6.296185,4.965542,7.4342494,0,3424474.2
77,2000,8,0.46269727,0,1,3.2937338,183.6586,463.75772,687.20465,2814.1663,415.1422,3.1619844,3.3,8.876481027434169,11.063006,6.8154616,4.7262397,6.818771,0,822992.0
78,2001,8,0.40051904,0,0,2.9808962,149.82245,423.6761,666.68396,2524.1711,360.17004,3.7585216,3.5,8.611550325306514,11.020055,6.810824,4.6966653,6.8777075,0,822992.0
79,2002,8,0.48613518,0,0,3.3238688,147.52864,421.61996,684.5891,2372.0918,390.81027,3.8352332,4.0,9.527486477606713,11.004995,6.76447,4.8132563,6.993193,0,822992.0
80,2003,8,0.4371964,0,0,2.6498623,181.83102,465.99722,765.43164,2389.0403,371.48547,2.6498623,4.2,9.263792533445049,10.97011,6.7537804,4.7050147,7.019892,0,822992.0
81,2004,8,0.42442292,0,0,3.4764428,166.74509,419.2838,703.85547,2394.4,285.81326,3.4764428,4.0,9.913324832603074,10.923453,6.756987,4.816967,7.2894435,0,822992.0
82,2005,8,0.43568146,0,0,4.519984,159.54321,441.24814,709.8818,2209.2947,286.9579,5.0086308,4.0,10.297133963769275,10.954694,6.746387,4.822614,7.3352942,0,822992.0
83,2006,8,0.42099386,0,0,4.9210525,209.84773,437.38782,742.49304,2394.092,337.91226,4.9210525,3.6,10.398534932440983,10.945635,6.738522,4.809422,7.3722396,0,822992.0
84,2007,8,0.407991,0,0,4.573766,208.39955,468.40054,761.82526,2436.2927,277.47513,4.573766,3.4,10.162321784378594,10.95787,6.7491117,4.92331,7.3987317,0,822992.0
85,2008,8,0.44991878,0,0,6.6140327,214.31787,453.93152,787.0699,2558.0063,296.7032,6.6140327,4.6,10.208469675239382,10.846284,6.710465,4.955974,7.441735,0,822992.0
86,2009,8,0.4517857,2,1,4.746293,194.48225,416.40042,803.74426,2412.043,220.64476,4.746293,8.1,11.160619194473,10.877557,6.6675873,5.021994,7.4862185,0,822992.0
87,2010,8,0.45926735,1,0,5.382427,205.0929,379.68536,842.6862,2413.0093,216.30629,5.7188287,8.7,10.97880557,10.919968,6.60646,5.1180334,7.526988,0,822992.0
88,2000,10,0.22801723,12,20,5.7908993,203.98972,577.21735,1108.7872,3323.8223,571.9138,5.707531,3.8,12.03967721540215,10.803568,6.125483,4.1950307,6.612029,0,17281274.0
89,2001,10,0.38987434,12,21,5.460078,205.32767,564.3184,1099.837,3226.9934,561.73206,5.4538307,4.7,12.794836390706173,10.711168,6.1143994,4.669939,6.731031,0,17281274.0
90,2002,10,0.38844725,12,23,5.5825677,199.65492,542.177,1086.1311,3134.3145,542.4221,5.551928,5.7,13.098106853897773,10.738221,6.1331453,4.4219365,6.7825823,0,17281274.0
91,2003,10,0.38981062,16,16,5.5601873,189.69025,512.12695,1026.8535,3041.7896,490.8069,5.5601873,5.3,13.354420725056858,10.740757,6.2015405,4.4181533,6.8623333,0,17281274.0
92,2004,10,0.38350502,8,23,5.567921,176.5549,507.34592,978.9889,2839.781,461.0015,5.567921,4.7,12.212917306423362,10.753404,6.2214365,4.728749,6.953999,0,17281274.0
93,2005,10,0.3963372,18,25,5.0798182,173.39842,508.2177,947.98157,2720.6196,433.2113,5.056807,3.9,12.77622663377,10.779227,6.2469344,4.838201,6.975622,0,17281274.0
94,2006,10,0.42047617,12,21,6.2410555,188.76291,485.63593,944.5774,2618.999,422.63388,6.2355275,3.3,12.341336091116977,10.807584,6.242083,4.646411,6.9276214,1,17281274.0
95,2007,10,0.4699654,42,60,6.6722445,211.80214,479.45795,1009.4129,2724.263,408.73883,6.6722445,4.0,12.02952973387014,10.78218,6.3011694,4.702668,6.9199705,1,17281274.0
96,2008,10,0.46643138,41,52,6.4293222,199.47398,455.66238,1036.5839,2787.95,349.33383,6.4238224,6.0,13.063376232330295,10.723796,6.33349,4.724836,6.913868,1,17281274.0
97,2009,10,0.44217268,45,60,5.581037,169.6317,417.68326,998.13306,2633.388,275.8086,5.581037,10.5,14.886562816574308,10.74471,6.346091,4.7181473,6.9428453,1,17281274.0
98,2010,10,0.42570728,40,56,5.285303,139.68837,372.28992,905.6182,2454.9832,222.02557,5.285303,11.9,14.66394815,10.697453,6.325344,4.642952,7.019406,1,17281274.0
99,2000,11,0.51524526,9,7,8.18597,166.61153,320.01987,861.1993,3023.4019,486.65656,7.5320983,3.5,12.654038644569326,10.879009,6.321116,4.8034368,6.7694807,0,8871351.0
100,2001,11,0.45368698,6,16,7.337416,176.71149,300.50278,880.96844,2926.1812,461.21426,6.9938583,4.0,12.987876821716004,10.867311,6.334422,4.853871,6.865631,0,8871351.0
101,2002,11,0.5206224,8,13,7.2781854,161.3211,277.73605,887.93866,2817.4866,456.82025,7.1460733,4.8,13.297809542373873,10.859768,6.345328,4.7776623,7.0380735,0,8871351.0
102,2003,11,0.5110731,2,10,7.786018,166.42169,266.6563,936.23016,2929.4863,514.2327,7.53715,4.8,13.694195316230246,10.825959,6.3269644,4.8437138,7.03167,0,8871351.0
103,2004,11,0.4054628,12,0,7.1432824,159.13322,274.5561,967.1049,2906.5586,515.50494,6.455756,4.7,14.189682000408087,10.764414,6.3894253,4.7822013,7.1094246,0,8871351.0
104,2005,11,0.48486575,6,6,6.39373,159.17441,271.81287,957.5064,2829.4976,504.2091,6.1329927,5.1,14.413201828062624,10.84529,6.3147035,4.688258,7.0772657,0,8871351.0
105,2006,11,0.50586987,11,14,6.5570683,171.01773,276.80652,907.9083,2547.8801,473.038,6.183294,4.7,14.3129372557986,10.884817,6.3346634,4.6070337,6.929292,0,8871351.0
106,2007,11,0.56595373,8,7,7.833669,185.39326,287.30597,969.1031,2557.141,455.7888,7.544327,4.4,14.2437857089658,10.842498,6.365486,4.538972,6.9952955,1,8871351.0
107,2008,11,0.5738439,18,13,6.835447,187.83807,279.7801,1058.5688,2595.8293,416.36285,6.604093,6.1,14.606392888443196,10.753895,6.3178806,4.513997,6.9345856,1,8871351.0
108,2009,11,0.52833027,11,8,5.959358,154.04836,258.5161,1038.2129,2413.3926,349.16995,5.875127,9.7,16.689530176200112,10.693194,6.3313913,4.624695,6.9647646,1,8871351.0
109,2010,11,0.56405073,22,7,5.8047853,128.71434,250.16751,1006.194,2347.4114,315.2581,5.731965,10.2,16.03643657,10.694396,6.3751154,4.761356,6.93579,1,8871351.0
110,2000,12,0.12021371,0,1,2.9768107,95.51309,123.32501,907.0767,3678.8276,520.0063,2.9768107,4.0,10.066467929117886,11.086181,6.063242,5.2347345,7.0147877,0,1248183.9
111,2001,12,0.10420315,0,4,2.692209,96.07821,129.05777,939.0762,3779.6091,567.2989,2.692209,4.2,10.591318467291764,10.975465,6.1245046,5.0936923,6.980355,0,1248183.9
112,2002,12,0.1214876,0,2,1.9858721,100.121056,137.02518,1052.6777,4082.9531,819.9997,1.9858721,4.0,11.144300919210583,10.956562,6.1064086,4.9566593,7.0293703,0,1248183.9
113,2003,12,0.13099316,0,1,1.8004968,95.59001,150.83252,933.72125,3667.039,789.8452,1.8004968,3.9,10.91469328128261,11.025963,6.1674495,4.7483163,7.073268,0,1248183.9
114,2004,12,0.12817797,0,1,2.689469,76.93511,155.09271,882.3903,3347.8184,702.5219,2.689469,3.2,9.163509936365532,11.080911,6.185662,4.760323,7.144258,0,1248183.9
115,2005,12,0.112887114,0,0,1.9383633,80.8459,152.24228,790.85223,3407.3196,737.78955,2.0191283,2.7,9.833639971635284,11.105679,6.207347,4.6058335,7.1512194,0,1248183.9
116,2006,12,0.13374126,1,1,1.6336081,88.99275,162.5829,678.6475,2939.25,602.0235,1.3224447,2.4,9.164619470430916,11.088155,6.1402683,4.4402165,7.090842,0,1248183.9
117,2007,12,0.09536542,1,0,1.880091,87.89425,158.31932,712.0061,2937.172,492.19214,1.880091,2.7,8.321909169673507,11.117257,6.1491075,4.401136,7.115412,0,1248183.9
118,2008,12,0.104147464,0,1,2.0308168,84.74755,159.02858,734.5308,2454.4766,399.60226,2.0308168,4.0,9.108838505537491,11.0397005,6.1423283,4.5795455,7.1205835,0,1248183.9
119,2009,12,0.11553398,1,0,1.7965368,80.453606,164.96893,722.0516,2610.0554,379.38168,1.7965368,6.9,10.3024352446141,10.943199,6.1315475,4.597832,7.200581,0,1248183.9
120,2010,12,0.09677419,1,1,1.7810522,78.21788,158.1426,642.8857,2324.2732,378.4736,1.8552628,6.5,9.782726465,10.976902,6.08389,4.505494,7.282712,0,1248183.9
121,2000,13,0.2825112,0,1,1.2673699,17.663967,209.43288,580.61383,2261.0671,165.23335,1.2673699,4.6,11.488945762113085,10.7710085,6.083202,4.352778,6.6383734,0,1401675.9
122,2001,13,0.28163266,1,2,2.3264976,18.999731,194.72784,582.16724,2193.4995,185.26675,2.3264976,4.9,11.757653401494542,10.759922,6.1436806,4.5059094,6.781303,0,1401675.9
123,2002,13,0.3375,0,0,2.7516203,18.344135,202.2441,568.7446,2221.1692,200.79185,2.7516203,5.4,11.963357588357589,10.73005,6.1614594,4.6078033,6.8344965,0,1401675.9
124,2003,13,0.31428573,1,0,1.9502462,18.37732,191.72421,587.84924,2217.2048,198.47505,1.9502462,5.3,12.002940371221866,10.824388,6.064551,4.661004,6.878614,0,1401675.9
125,2004,13,0.2987552,0,1,2.279157,17.718609,190.12581,563.9811,2087.193,201.37456,2.279157,4.7,11.821325851816562,10.8435335,6.1499577,4.720334,6.9362245,0,1401675.9
126,2005,13,0.32706767,1,0,2.5078208,19.059439,200.05244,577.9452,1978.0258,206.64444,2.937733,4.0,13.359806367572013,10.80645,6.1913877,4.445949,7.0002785,0,1401675.9
127,2006,13,0.3537415,0,1,2.1821182,20.048212,183.5707,510.2065,1712.4172,164.27258,2.1821182,3.4,12.474419778174044,10.819258,6.185785,4.520419,6.9670615,0,1401675.9
128,2007,13,0.40677965,1,1,3.3491473,16.130587,198.76164,480.6368,1686.3982,153.44562,3.3491473,2.7,12.154670454164869,10.8536,6.2151146,4.423959,6.9730887,0,1401675.9
129,2008,13,0.28630707,0,0,1.539787,16.13429,189.9294,455.57614,1591.4703,112.136665,1.539787,4.2,12.453195493377912,10.779373,6.1904087,4.424404,6.9983215,0,1401675.9
130,2009,13,0.40944883,0,0,1.6079615,17.017593,197.77927,447.6833,1545.385,98.62164,1.6079615,8.0,14.574027535001639,10.769537,6.2061486,4.7046766,7.0889716,0,1401675.9
131,2010,13,0.28037384,0,0,1.3518698,13.776197,174.13371,418.56464,1510.3605,85.103424,1.4162446,9.2,14.04863126,10.758201,6.170382,4.5070267,7.0466056,0,1401675.9
138,2006,14,0.008788159,2,11,6.078568,185.33397,318.40784,602.08215,2124.21,293.33765,4.855061,4.5,11.97113927167847,10.871079,5.8622456,4.497274,7.125266,0,12520122.0
139,2007,14,0.010779221,2,16,5.8827906,180.70805,317.39688,590.81366,2095.83,265.09326,5.210025,5.0,11.704187318690556,10.918954,5.8684793,4.5216346,7.155058,0,12520122.0
140,2008,14,0.010803174,0,20,6.1579165,187.5982,303.05524,615.54224,2101.12,255.09364,5.128999,6.6,11.920128857915348,10.895405,5.8706017,4.4552093,7.211719,0,12520122.0
141,2009,14,0.011473193,2,15,6.0461273,179.29544,286.17816,608.9147,1946.1882,208.65005,5.396931,10.0,13.072642774842446,10.891969,5.867128,4.4954495,7.3008323,0,12520122.0
142,2010,14,0.012017553,0,14,5.5174966,156.72504,250.41307,589.2546,1874.0264,225.04509,5.470606,10.5,12.787283,10.834884,5.935936,4.5098147,7.295567,0,12520122.0
143,2000,15,0.39223176,2,2,5.9637456,106.432526,217.49034,696.4706,2451.6924,357.31647,5.2521625,2.9,8.968033138094086,10.853987,5.836248,4.1065726,6.7663407,0,6158275.5
144,2001,15,0.4589318,1,6,6.9569025,120.79407,226.29305,720.25,2481.0874,362.14636,6.4010243,4.2,9.159225476076172,10.814323,5.8669443,4.0652566,6.8040886,0,6158275.5
145,2002,15,0.49561402,5,6,6.05262,110.55228,220.43575,712.3533,2442.3325,339.1975,5.517582,5.2,9.78529751720524,10.814706,5.889805,4.257689,6.9455967,0,6158275.5
146,2003,15,0.4585221,2,7,5.617002,106.374054,222.40337,691.0242,2421.0608,345.17972,5.3178716,5.3,10.1312932648325,10.825641,5.948997,4.3832726,6.9652123,0,6158275.5
147,2004,15,0.45394632,3,2,5.215442,105.183586,194.78687,695.9645,2453.7336,348.09778,4.9513693,5.3,11.278740635722809,10.796715,5.982024,4.464229,6.985952,0,6158275.5
148,2005,15,0.49581435,3,8,5.842414,111.74437,185.13559,718.09174,2482.6648,356.84674,5.4649544,5.3,12.089069894304828,10.766294,5.9948034,4.6818986,6.9816647,0,6158275.5
149,2006,15,0.22989145,7,3,5.733727,113.81923,174.94203,723.98596,2397.2522,343.10495,5.4011073,5.0,12.174539717938645,10.801676,6.0240674,4.6807427,6.9699297,0,6158275.5
